Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PH,PH_CALON,PH_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,3,298,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,231,UMNO,LOKMAN NOOR BIN ADAM,65,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,296,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,4,259,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,199,UMNO,LOKMAN NOOR BIN ADAM,57,BEBAS - PEN,MURTHY A/L KRISHNASAMY,3,259,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,5,243,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,150,UMNO,LOKMAN NOOR BIN ADAM,92,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,243,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,6,267,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,177,UMNO,LOKMAN NOOR BIN ADAM,87,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,264,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,7,282,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,191,UMNO,LOKMAN NOOR BIN ADAM,89,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,280,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,1,169,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,107,UMNO,LOKMAN NOOR BIN ADAM,57,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,165,4,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,2,181,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,118,UMNO,LOKMAN NOOR BIN ADAM,59,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,179,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,3,244,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,182,UMNO,LOKMAN NOOR BIN ADAM,59,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,241,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,4,200,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,153,UMNO,LOKMAN NOOR BIN ADAM,46,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,200,0,1
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,5,193,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,143,UMNO,LOKMAN NOOR BIN ADAM,46,BEBAS - PEN,MURTHY A/L KRISHNASAMY,4,193,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,6,180,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,129,UMNO,LOKMAN NOOR BIN ADAM,50,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,179,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,1,188,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,114,UMNO,LOKMAN NOOR BIN ADAM,71,BEBAS - PEN,MURTHY A/L KRISHNASAMY,3,188,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,2,173,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,104,UMNO,LOKMAN NOOR BIN ADAM,67,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,171,2,0
